SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Segment,Product Type,Consumer Target,Sizes Overview,Size,Made-In,Taric,Collection Type,Carry Over,SWP EUR,RSP EUR
001225_510_XL,001225510,3468337116448,001225,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XL,China,6109100010,Global,Y,18.09524,38
001225_510_XS,001225510,3468337116288,001225,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XS,China,6109100010,Global,Y,18.09524,38
001225_510_XXL,001225510,3468337115441,001225,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XXL,China,6109100010,Global,Y,18.09524,38
001225_710_L,001225710,3468337115427,001225,W T-SHIRT TEAM,710,NAVY-WHITE-NAVY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",L,China,6109100010,Global,Y,18.09524,38
001225_710_M,001225710,3468337115571,001225,W T-SHIRT TEAM,710,NAVY-WHITE-NAVY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",M,China,6109100010,Global,Y,18.09524,38
001225_710_S,001225710,3468337116677,001225,W T-SHIRT TEAM,710,NAVY-WHITE-NAVY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",S,China,6109100010,Global,Y,18.09524,38
001225_710_XL,001225710,3468337115601,001225,W T-SHIRT TEAM,710,NAVY-WHITE-NAVY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XL,China,6109100010,Global,Y,18.09524,38
001225_710_XS,001225710,3468337115533,001225,W T-SHIRT TEAM,710,NAVY-WHITE-NAVY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XS,China,6109100010,Global,Y,18.09524,38
001225_710_XXL,001225710,3468337116080,001225,W T-SHIRT TEAM,710,NAVY-WHITE-NAVY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XXL,China,6109100010,Global,Y,18.09524,38
001225_810_L,001225810,3468337116516,001225,W T-SHIRT TEAM,810,ROY-WHITE-ROY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",L,China,6109100010,Global,Y,18.09524,38
001225_810_M,001225810,3468337116639,001225,W T-SHIRT TEAM,810,ROY-WHITE-ROY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",M,China,6109100010,Global,Y,18.09524,38
001225_810_S,001225810,3468337116394,001225,W T-SHIRT TEAM,810,ROY-WHITE-ROY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",S,China,6109100010,Global,Y,18.09524,38
001225_810_XL,001225810,3468337115274,001225,W T-SHIRT TEAM,810,ROY-WHITE-ROY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XL,China,6109100010,Global,Y,18.09524,38
001225_810_XS,001225810,3468337116578,001225,W T-SHIRT TEAM,810,ROY-WHITE-ROY,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XS,China,6109100010,Global,Y,18.09524,38
